Ocasiao|Casa|Fora|Casa_placar|Fora_placar
Amistoso|Catar|Equador|4|3
Amistoso|Suica|Catar|0|1
Amistoso|Catar|Ira|1|2
Copa Continental|Arabia Saudita|Catar|0|2
Copa Continental|Coreia do Sul|Catar|0|1
Copa Continental|Japao|Catar|1|3
Amistoso|Brasil|Catar|2|0
Copa Continental|Catar|Argentina|0|2
Copa Regional|Arabia Saudita|Catar|1|0
Amistoso|Gana|Catar|5|1
Amistoso|Costa Rica|Catar|1|1
Amistoso|Coreia do Sul|Catar|2|1
Copa Continental|Catar|Estados Unidos|0|1
Amistoso|Catar|Servia|0|4
Amistoso|Catar|Portugal|1|3
Amistoso|Portugal|Catar|3|0
Amistoso|Servia|Catar|4|0
Amistoso|Catar|Marrocos|2|2
Amistoso|Catar|Croacia|0|3
Amistoso|Catar|Canada|0|2
Amistoso|Equador|Estados Unidos|0|1
Amistoso|Equador|Mexico|2|3
Copa Continental|Equador|Uruguai|0|4
Copa Continental|Equador|Japao|1|1
Amistoso|Equador|Argentina|1|6
Eliminatorias|Equador|Argentina|0|1
Eliminatorias|Equador|Uruguai|4|2
Eliminatorias|Equador|Brasil|0|2
Copa Continental|Equador|Brasil|1|1
Copa Continental|Equador|Argentina|0|3
Eliminatorias|Equador|Uruguai|0|1
Amistoso|Equador|Mexico|3|2
Eliminatorias|Equador|Brasil|1|1
Eliminatorias|Equador|Argentina|1|1
Amistoso|Equador|Mexico|0|0
Copa Continental|Senegal|Tunisia|1|0
Amistoso|Brasil|Senegal|1|1
Amistoso|Marrocos|Senegal|3|1
Amistoso|Senegal|Ira|1|1
Liga Continental|Franca|Holanda|2|1
Liga Continental|Holanda|Alemanha|3|0
Amistoso|Belgica|Holanda|1|1
Liga Continental|Holanda|Franca|2|0
Liga Continental|Alemanha|Holanda|2|2
Copa Continental|Holanda|Alemanha|2|3
Liga Continental|Holanda|Inglaterra|3|1
Liga Continental|Portugal|Holanda|1|0
Copa Continental|Alemanha|Holanda|2|4
Liga Continental|Holanda|Polonia|1|0
Amistoso|Holanda|Mexico|0|1
Amistoso|Holanda|Espanha|1|1
Liga Continental|Polonia|Holanda|1|2
Amistoso|Holanda|Dinamarca|4|2
Amistoso|Holanda|Alemanha|1|1
Liga Continental|Belgica|Holanda|1|4
Liga Continental|Gales|Holanda|1|2
Liga Continental|Holanda|Polonia|2|2
Liga Continental|Holanda|Gales|3|2
Liga Continental|Polonia|Holanda|0|2
Liga Continental|Holanda|Belgica|1|0
Liga Continental|Inglaterra|Espanha|1|2
Liga Continental|Espanha|Croacia|6|0
Amistoso|Gales|Espanha|1|4
Liga Continental|Espanha|Inglaterra|2|3
Liga Continental|Croacia|Espanha|3|2
Liga Continental|Alemanha|Espanha|1|1
Amistoso|Portugal|Espanha|0|0
Liga Continental|Espanha|Suica|1|0
Liga Continental|Suica|Espanha|1|1
Liga Continental|Espanha|Alemanha|6|0
Amistoso|Espanha|Portugal|0|0
Copa Continental|Espanha|Polonia|1|1
Copa Continental|Croacia|Espanha|3|5
Copa Continental|Suica|Espanha|1|1
Liga Continental|Espanha|Franca|1|2
Liga Continental|Espanha|Portugal|1|1
Liga Continental|Suica|Espanha|0|1
Liga Continental|Espanha|Suica|1|2
Liga Continental|Portugal|Espanha|0|1
Amistoso|Coreia do Sul|Costa Rica|2|0
Amistoso|Japao|Costa Rica|3|0
Amistoso|Mexico|Costa Rica|3|2
Amistoso|Estados Unidos|Costa Rica|2|0
Copa Continental|Mexico|Costa Rica|1|1
Amistoso|Costa Rica|Uruguai|1|2
Amistoso|Estados Unidos|Costa Rica|1|0
Amistoso|Costa Rica|Mexico|0|1
Liga Continental|Mexico|Costa Rica|0|0
Amistoso|Estados Unidos|Costa Rica|4|0
Copa Continental|Costa Rica|Canada|0|2
Eliminatorias|Costa Rica|Mexico|0|1
Eliminatorias|Estados Unidos|Costa Rica|2|1
Eliminatorias|Canada|Costa Rica|1|0
Eliminatorias|Mexico|Costa Rica|0|0
Eliminatorias|Costa Rica|Canada|1|0
Eliminatorias|Costa Rica|Estados Unidos|2|0
Amistoso|Coreia do Sul|Costa Rica|2|2
Liga Continental|Alemanha|Franca|0|0
Liga Continental|Franca|Alemanha|2|1
Amistoso|Alemanha|Servia|1|1
Amistoso|Alemanha|Argentina|2|2
Liga Continental|Suica|Alemanha|1|1
Liga Continental|Alemanha|Suica|3|3
Amistoso|Alemanha|Dinamarca|1|1
Copa Continental|Franca|Alemanha|1|0
Copa Continental|Portugal|Alemanha|2|4
Copa Continental|Inglaterra|Alemanha|2|0
Liga Continental|Alemanha|Inglaterra|1|1
Liga Continental|Inglaterra|Alemanha|3|3
Amistoso|Japao|Uruguai|4|3
Copa Continental|Japao|Arabia Saudita|1|0
Copa Continental|Japao|Ira|3|0
Copa Continental|Japao|Uruguai|2|2
Copa Regional|Japao|Coreia do Sul|0|1
Amistoso|Japao|Camaroes|0|0
Amistoso|Japao|Mexico|0|2
Amistoso|Japao|Coreia do Sul|3|0
Amistoso|Japao|Servia|1|0
Eliminatorias|Arabia Saudita|Japao|1|0
Eliminatorias|Japao|Australia|2|1
Eliminatorias|Japao|Arabia Saudita|2|0
Eliminatorias|Australia|Japao|0|2
Amistoso|Japao|Brasil|0|1
Amistoso|Japao|Gana|4|1
Amistoso|Japao|Tunisia|0|3
Copa Regional|Japao|Coreia do Sul|3|0
Amistoso|Japao|Estados Unidos|2|0
Amistoso|Equador|Japao|0|0
Amistoso|Inglaterra|Suica|1|0
Liga Continental|Croacia|Inglaterra|0|0
Amistoso|Inglaterra|Estados Unidos|3|0
Liga Continental|Inglaterra|Croacia|2|1
Liga Continental|Suica|Inglaterra|0|0
Liga Continental|Dinamarca|Inglaterra|0|0
Amistoso|Inglaterra|Gales|3|0
Liga Continental|Inglaterra|Belgica|2|1
Liga Continental|Inglaterra|Dinamarca|0|1
Liga Continental|Belgica|Inglaterra|2|0
Eliminatorias|Inglaterra|Polonia|2|1
Copa Continental|Inglaterra|Croacia|1|0
Copa Continental|Inglaterra|Dinamarca|2|1
Eliminatorias|Polonia|Inglaterra|1|1
Amistoso|Inglaterra|Suica|2|1
Amistoso|Ira|Coreia do Sul|1|1
Eliminatorias|Ira|Coreia do Sul|1|1
Eliminatorias|Ira|Coreia do Sul|0|2
Amistoso|Ira|Uruguai|1|0
Amistoso|Estados Unidos|Brasil|0|2
Amistoso|Estados Unidos|Mexico|1|0
