 ,AMM,ATP,ATG,ATM,AVA,BOT,CEA,COR,CTB,CUI,FLA,FLU,FOR,GOI,INT,JUV,PAL,RBB,SAN,SPA
América-MG,—,1–0,R–38,1–1,3–1,1–1,0–2,1–0,2–0,2–1,1–2,0–0,1–2,1–0,R–35,4–1,0–1,0–3,1–0,1–2
Athletico-PR,1–1,—,4–1,0–1,2–1,R–38,1–0,1–1,1–0,2–2,1–0,1–0,1–1,R–35,0–0,2–0,1–3,4–2,2–2,1–0
Atlético-GO,0–1,R–37,—,0–2,2–1,1–1,1–0,0–1,2–0,1–1,1–1,3–2,0–1,0–1,1–2,3–1,1–1,2–1,R–35,1–2
Atlético-MG,1–2,2–3,2–0,—,2–1,R–36,0–0,1–2,2–2,R–37,2–0,2–0,3–2,0–1,2–0,R–34,0–1,1–1,1–1,0–0
Avaí,1–0,1–1,1–2,1–0,—,1–2,R–37,1–1,2–1,1–2,1–2,0–3,3–2,3–2,0–1,1–2,2–2,R–35,1–0,1–1
Botafogo,0–0,2–0,0–0,0–1,0–1,—,1–1,1–3,2–0,R–35,0–1,0–1,3–1,1–2,0–1,1–1,1–3,2–1,R–37,1–0
Ceará,1–2,0–0,1–1,0–0,1–0,1–3,—,3–1,1–1,1–1,2–2,R–35,0–1,1–1,1–1,R–38,1–2,0–1,2–1,0–2
Corinthians,1–1,2–1,2–1,R–38,3–0,1–0,R–36,—,3–1,2–0,1–0,0–2,1–0,1–0,2–2,2–0,0–1,1–0,0–0,1–1
Coritiba,1–0,0–1,2–0,0–1,1–0,1–0,1–0,R–37,—,1–0,R–36,3–2,2–1,3–0,1–1,2–2,0–2,2–1,1–2,1–1
Cuiabá,2–1,0–1,1–1,1–1,R–34,2–0,0–0,1–0,R–38,—,1–2,0–1,0–1,1–2,1–1,1–0,R–36,1–1,0–0,1–1
Flamengo,3–0,5–0,4–1,1–0,R–38,0–1,1–1,R–35,2–0,2–0,—,1–2,1–2,1–0,0–0,4–0,0–0,4–1,3–2,3–1
Fluminense,0–2,2–1,0–2,5–3,2–0,2–2,2–1,4–0,5–2,1–0,1–2,—,2–1,R–37,0–1,4–0,1–1,2–1,0–0,R–36
Fortaleza,1–0,0–0,R–36,0–0,2–0,1–3,0–1,1–0,R–34,0–1,3–2,0–1,—,1–1,3–0,1–1,0–0,R–37,0–0,1–1
Goiás,2–2,2–1,2–1,2–2,1–1,0–1,1–1,R–32,1–0,1–0,1–1,2–3,0–1,—,1–2,R–36,1–1,1–1,1–0,R–38
Internacional,1–0,R–36,1–1,3–0,0–0,2–3,2–1,2–2,3–0,1–0,3–1,3–0,2–1,4–2,—,4–0,R–38,0–0,1–0,3–3
Juventude,0–1,1–3,1–1,1–2,1–1,2–2,1–0,2–2,R–35,0–1,R–37,1–0,1–1,0–0,1–1,—,0–3,2–2,1–2,1–2
Palmeiras,R–37,0–2,4–2,0–0,3–0,4–0,2–3,3–0,4–0,1–0,1–1,1–1,R–35,3–0,2–1,2–1,—,2–0,1–0,0–0
RB Bragantino,R–36,4–2,4–0,1–1,4–0,0–1,1–1,0–1,4–2,2–1,1–0,R–38,2–1,1–1,0–2,1–0,2–2,—,0–2,1–1
Santos,3–0,2–0,1–0,1–2,R–36,2–0,0–0,0–1,2–1,4–1,1–2,2–2,R–38,1–2,1–1,4–1,0–1,2–2,—,1–0
São Paulo,1–0,4–0,R–34,R–35,4–0,0–1,2–2,1–1,3–1,2–1,0–2,2–2,0–1,3–3,R–37,0–0,1–2,3–0,2–1,—
